# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 21 indicators, each mapped onto the 0-10 scale.
"Country","SufficientFood","SufficientWater","SafeSanitation","Education","HealthyLife","GenderEquality","IncomeDistribution","PopulationGrowth","GoodGovernance","Biodiversity","RenewableWaterResources","Consumption","EnergyUse","EnergySavings","GreenhouseGases","RenewableEnergy","OrganicFarming","GenuineSavings","GDP","Employment","PublicDebt"
"Costa Rica",10,9.77,9.45,9.444103,8.3,7.32,1.1990752206533,5.91081502880062,6.31012667218844,10,9.723,5.0992431687604,7.938,4.77984344422701,8.494,5.01658365834423,1.9276325823927,8.95328573428991,6.58575219020535,4.36049278004556,7.55970191233843
"Cote d'Ivoire",8.67,8.18,2.23,5.236175,8.3,6.06,2.66092032425419,2.89500268363693,3.67765629291534,7.74150943396227,9.8159,6.62591308986693,8.748,1,9.578,7.40512494522475,1.21407665202441,8.51018302439833,2.15656967359371,6.70320046035639,8.75964480453989
"Croatia",10,9.96,9.71,8.990434,8.23333333333333,7.08,6.04821091843426,8.55750276084364,5.89480066796144,7.95907791279486,9.932,4.29790013796103,6.204,7.67058823529412,6.4273,2.49438231022278,6.49710864863316,6.72623556818059,7.7525471234914,1.88247051276635,1
"Cuba",10,9.46,9.32,8.145799,8.2,7.4,2.8365402649977,7.74520394516522,4.05675447359681,6.05926077276442,8.174,7.5848716999226,7.944,6.44362969752521,7.4123,1.4241128415585,1.10016507243208,7.90602318114956,7.48725839605453,7.18923736860022,8.85061064262522
"Cyprus",10,10,10,8.28592,8.55,6.71,6.68793701240019,5.98475454710056,7.02628880739212,5.03196347402597,7.349,5.76909444347367,5.402,10,3.2833,1,5.37445389685353,5.17004924765846,8.9522288767904,2.1013606318471,1
"Czech Republic",10,10,9.91,9.35611,8.23333333333333,6.87,8.84380201109808,7.7705594790662,6.83150512973468,7.93146275970528,8.745,4.12534366302177,2.17,6.81236673773987,1,1,9.4421619462561,7.71216698786971,8.89847779992012,5.3794444785515,8.02897651975712
"Denmark",10,10,9.96,10,8.53333333333333,7.67,6.86321947101663,7.15592630605495,8.45659554004669,8.60941550789536,9.838,1,4.254,9.54286528054685,3.8839,2.73539310272337,8.12210136267813,8.94284028046717,9.61961925559761,5.16851339420778,7.20987399142206
"Dominican Republic",8.77,8.5,8.36,7.791661,7.51666666666667,6.86,2.18942231203659,5.66652887512517,4.56403531879187,10,9.663,7.76129441523103,8.532,5.88699080157687,8.1493,1.34554170340379,8.93657397967336,8.94772638990725,6.51383445633843,2.2313016014843,8.60365601164363
"Ecuador",8.91,8.69,8.47,8.938094,7.83333333333333,7.38,1.57633229495697,4.9670218171266,3.78041726226608,5.61010227089709,9.7759,6.371500635649,8.216,1.7005076142132,7.5649,1.26362351896503,2.2694030465001,8.66620961852882,5.11119773951072,6.31283651527316,8.36041372459418
"Egypt",10,9.92,9.47,7.800697,7.03333333333333,5.99,8.01749073537743,3.43858752209192,3.1521848042806,7.38327166859209,1,6.25328883594977,8.33,6.38574660633484,8.0658,1,4.96829239485415,6.39091980970105,5.54951426143226,2.67135307061053,1
"El Salvador",8.76,9.31,7.42,7.609676,7.35,7.06,3.07905584969814,7.47994396809681,4.79737534932792,3.86281305381274,9.138,5.90136839182851,8.668,6.34943181818182,9.0381,5.0764534267417,1.92996983798447,5.30623556844597,4.36687167070304,5.3794444785515,4.73103008433488
"Estonia",10,9.96,9.72,9.726763,8.16666666666667,7.49,5.64244728127844,8.49495645403922,7.42753712336222,7.4598372257608,8.657,1,1,2.80701754385965,1,1.42245719498158,9.8450046897799,9.06435666414151,8.63438824136149,4.63013077142501,9.71557802152609
"Ethiopia",6.8,5.54,2.68,5.407218,6.01666666666667,6.4,6.62565922689465,2.64970505408697,3.40139016509056,7.47985,9.5444,6.83952639860568,9.002,4.38398357289528,9.9059,9.40750086282218,1.95995400862865,8.94042568849929,1.24419091038547,5.94520559309774,5.66201998848319
"Finland",10,10,9.76,10,8.5,8.5,8.79008211951634,7.22589962386559,8.69065527121226,6.3348214932984,9.4035,3.56573212450703,1,7.25874945087128,1.7166,2.99204864171761,9.14503432124797,7.86015556131994,9.43453726752814,4.23162066175397,3.68493802140536
"France",10,10,9.87,9.615029,8.76666666666667,7.61,6.54249107992679,6.99442096627695,7.26811675230662,9.14077414879923,8.587,1.90875935816473,2.666,7.1952736318408,5.6825,1,6.75075501151876,7.94382800709906,9.44218370726231,3.71576705196572,1
"Gabon",10,9.32,4.18,7.543306,6.2,6,3.64090643075468,3.34461069286091,3.91911643743515,10,9.9162,4.70057342861299,3.986,7.19205097087379,7.9311,7.5141448428758,1,1.43156695681958,7.21985057064652,1.39456845575337,6.83035995909418
"Gambia",9.47,9.02,5.88,5.569943,5.63333333333333,6.763,2.00155799563664,1,3.74457009881735,5.74541254940711,9.8869,7.26716684138122,9.322,5.36337209302325,9.8466,8.34119150020235,1,8.26963216827093,1.12008867095638,4.9658530379141,1
"Georgia",9.26,9.96,8.69,8.271774,7.73333333333333,6.87,3.75796263826803,10,5.78191493451595,5.17904203302634,9.7121,7.49259107959955,8.05,1,8.2861,2.73026656731792,1.11514553053864,8.43821035937068,4.88461444319023,2.61845678568945,8.11360416439138
"Germany",10,10,9.92,9.646759,8.55,7.79,7.74870373351829,8.20221217675063,8.16695555051168,7.82720498201701,7.858,3.2917857156348,2.442,6.79317121100467,1.0689,1.15672065835207,8.12006492595176,8.85241433895427,9.64489655399088,6.06530659712633,2.9634397111774
"Ghana",10,8.76,1.48,6.904171,5.88333333333333,7.04,2.80683854551179,3.02306613892363,4.95209493736426,7.86593904368463,9.8253,4.8586435741115,9.326,2.37704918032787,9.5104,4.81434489348416,1.22310027650681,5.98977390098418,2.58296496469442,7.86627853564686,2.12042576689715
"Greece",10,10,9.9,10,8.65,6.85,3.37300312919809,9.05412921849993,5.49138360718886,9.33145849495734,8.58,3.98321647951006,5.766,8.6764705882353,3.9709,1.05738979828846,5.84678840073754,2.03846042091896,8.32647823412213,1,1
