"method","user.self","sys.self","elapsed","Δdist","Σdist","Δidx","n","d","k","nthreads","time"
"py_genieclust_fastmst",0.0150000000000006,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_pykdtree",0.0219999999999994,0,0.0210000000000008,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_sklearn_neighbours",0.0899999999999999,0.00600000000000001,0.0960000000000001,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_genieclust_brute",0.146,0,0.145999999999999,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_genieclust_fastmst",0.016,0,0.0150000000000006,0,4489.32724425109,0,10000,5,1,1,1750757264
"pico_tree",0.0150000000000006,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_dbscan",0.0379999999999994,0,0.036999999999999,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_rann_kd",0.0419999999999998,0,0.0410000000000004,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_rann_bd",0.0599999999999996,0,0.0590000000000011,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_Rnanoflann",3.293,0.001,3.292,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_nabor",0.0200000000000014,0,0.0199999999999996,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_genieclust_fastmst",0.0169999999999995,0,0.0180000000000007,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_pykdtree",0.0179999999999989,0,0.0180000000000007,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_sklearn_neighbours",0.0530000000000008,0,0.0530000000000008,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_genieclust_brute",0.145,0,0.144,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_genieclust_fastmst",0.016,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757269
"pico_tree",0.0129999999999999,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_dbscan",0.036,0,0.0359999999999996,0,4489.32724425109,0,10000,5,1,1,1750757269
