# apollo 2025-06-30 21:00
#
# GNU/Linux 6.13.0-1-default #1 SMP PREEMPT_DYNAMIC Mon Jan 20 07:26:08 UTC 2025 (1513344) x86_64 openSUSE Tumbleweed
# Intel Core i7-1355U (AVX2-VNNI) (12 threads, 2 performance cores, 8 efficient cores), 12MB cache
# 32 GB RAM
# gcc 14.2.1
# Python 3.11.11 [gcc] OpenBLAS 0.3.29
# R version 4.4.2 (2024-10-31) Rblas
#
# Python modules:
#                numba 0.61.2
#               cython 3.1.2
#                numpy 2.2.6
#                scipy 1.16.0
#              sklearn 1.7.0
#               mlpack 4.6.1
#              hdbscan 0.8.40
#         fast_hdbscan 0.2.2* (because numba)
#                 rpy2 3.6.1
#
# R packages (via rpy2):
#               mlpack 4.6.2*
#
#
# * - compiled with -O3 -march=native
method,elapsed,Δdist,Σdist,Δidx,n,d,M,s,nthreads,trial,seed,time,host
quitefast_kdtree_dual,21.793834686279297,0.0,227399.07134935548,0,1208592,5,1,norm,10,3,123,1751311853,apollo
fasthdbscan_kdtree,63.54983472824097,8.556526154279709e-09,227399.07134936404,2,1208592,5,1,norm,10,3,123,1751311916,apollo
hdbscan_kdtree,203.10649299621582,0.0,227399.07134935548,0,1208592,5,1,norm,10,3,123,1751312120,apollo
r_quitefast_default,2.885485887527466,0.0,227399.07134935548,0,1208592,5,1,norm,10,3,123,1751312123,apollo
quitefast_kdtree_single,1.8293957710266113,0.0,351858.09366556775,0,1208592,5,10,norm,10,1,123,1751312125,apollo
quitefast_kdtree_dual,18.851725101470947,0.0,351858.09366556775,0,1208592,5,10,norm,10,1,123,1751312143,apollo
fasthdbscan_kdtree,22.229385137557983,3.14321368932724e-09,351858.0936655709,6845,1208592,5,10,norm,10,1,123,1751312166,apollo
hdbscan_kdtree,137.32379746437073,0.0,351858.09366556775,7244,1208592,5,10,norm,10,1,123,1751312303,apollo
r_quitefast_default,1.8700332641601562,0.0,351858.09366556775,0,1208592,5,10,norm,10,1,123,1751312305,apollo
quitefast_kdtree_single,1.8338468074798584,0.0,351858.09366556775,0,1208592,5,10,norm,10,2,123,1751312307,apollo
quitefast_kdtree_dual,19.046968460083008,0.0,351858.09366556775,0,1208592,5,10,norm,10,2,123,1751312326,apollo
fasthdbscan_kdtree,22.158352613449097,3.14321368932724e-09,351858.0936655709,6829,1208592,5,10,norm,10,2,123,1751312348,apollo
hdbscan_kdtree,137.81072163581848,0.0,351858.09366556775,7244,1208592,5,10,norm,10,2,123,1751312486,apollo
r_quitefast_default,1.8447227478027344,0.0,351858.09366556775,0,1208592,5,10,norm,10,2,123,1751312488,apollo
quitefast_kdtree_single,1.797306776046753,0.0,351858.09366556775,0,1208592,5,10,norm,10,3,123,1751312490,apollo
quitefast_kdtree_dual,19.019004344940186,0.0,351858.09366556775,0,1208592,5,10,norm,10,3,123,1751312509,apollo
fasthdbscan_kdtree,22.085556745529175,3.14321368932724e-09,351858.0936655709,6824,1208592,5,10,norm,10,3,123,1751312532,apollo
hdbscan_kdtree,137.9333610534668,0.0,351858.09366556775,7244,1208592,5,10,norm,10,3,123,1751312670,apollo
r_quitefast_default,1.887315034866333,0.0,351858.09366556775,0,1208592,5,10,norm,10,3,123,1751312672,apollo
quitefast_kdtree_single,197.68116545677185,0.0,1113820.0697305838,0,1208592,10,1,norm,10,1,123,1751312869,apollo
quitefast_kdtree_dual,1295.2666580677032,0.0,1113820.0697305838,0,1208592,10,1,norm,10,1,123,1751314165,apollo
fasthdbscan_kdtree,1326.328439950943,0.0,1113820.0697305838,0,1208592,10,1,norm,10,1,123,1751315491,apollo
hdbscan_kdtree,13779.157825231552,0.0,1113820.0697305838,0,1208592,10,1,norm,10,1,123,1751329271,apollo
r_quitefast_default,194.7671685218811,0.0,1113820.0697305838,0,1208592,10,1,norm,10,1,123,1751329465,apollo
quitefast_kdtree_single,197.84849786758423,0.0,1113820.0697305838,0,1208592,10,1,norm,10,2,123,1751329663,apollo
quitefast_kdtree_dual,1296.8161706924438,0.0,1113820.0697305838,0,1208592,10,1,norm,10,2,123,1751330960,apollo
fasthdbscan_kdtree,1308.1959586143494,0.0,1113820.0697305838,0,1208592,10,1,norm,10,2,123,1751332269,apollo
hdbscan_kdtree,13739.614457130432,0.0,1113820.0697305838,0,1208592,10,1,norm,10,2,123,1751346008,apollo
r_quitefast_default,195.56300950050354,0.0,1113820.0697305838,0,1208592,10,1,norm,10,2,123,1751346204,apollo
quitefast_kdtree_single,197.10276556015015,0.0,1113820.0697305838,0,1208592,10,1,norm,10,3,123,1751346401,apollo
quitefast_kdtree_dual,1296.5857284069061,0.0,1113820.0697305838,0,1208592,10,1,norm,10,3,123,1751347698,apollo
fasthdbscan_kdtree,1340.0175647735596,0.0,1113820.0697305838,0,1208592,10,1,norm,10,3,123,1751349038,apollo
hdbscan_kdtree,13714.53785276413,0.0,1113820.0697305838,0,1208592,10,1,norm,10,3,123,1751362753,apollo
r_quitefast_default,194.04519033432007,0.0,1113820.0697305838,0,1208592,10,1,norm,10,3,123,1751362947,apollo
quitefast_kdtree_single,139.6129515171051,0.0,1409586.1925820103,0,1208592,10,10,norm,10,1,123,1751363087,apollo
quitefast_kdtree_dual,285.4100251197815,0.0,1409586.1925820103,0,1208592,10,10,norm,10,1,123,1751363372,apollo
fasthdbscan_kdtree,647.2520859241486,-5.51808625459671e-08,1409586.192581955,1429,1208592,10,10,norm,10,1,123,1751364019,apollo
hdbscan_kdtree,3498.8199956417084,0.0,1409586.1925820103,1352,1208592,10,10,norm,10,1,123,1751367518,apollo
r_quitefast_default,140.22828769683838,0.0,1409586.1925820103,0,1208592,10,10,norm,10,1,123,1751367659,apollo
quitefast_kdtree_single,140.9815366268158,0.0,1409586.1925820103,0,1208592,10,10,norm,10,2,123,1751367800,apollo
quitefast_kdtree_dual,283.2800455093384,0.0,1409586.1925820103,0,1208592,10,10,norm,10,2,123,1751368083,apollo
fasthdbscan_kdtree,660.7326791286469,-5.51808625459671e-08,1409586.192581955,1428,1208592,10,10,norm,10,2,123,1751368744,apollo
hdbscan_kdtree,3498.69828414917,0.0,1409586.1925820103,1352,1208592,10,10,norm,10,2,123,1751372243,apollo
r_quitefast_default,140.80403542518616,0.0,1409586.1925820103,0,1208592,10,10,norm,10,2,123,1751372384,apollo
quitefast_kdtree_single,142.10722303390503,0.0,1409586.1925820103,0,1208592,10,10,norm,10,3,123,1751372526,apollo
quitefast_kdtree_dual,283.79526114463806,0.0,1409586.1925820103,0,1208592,10,10,norm,10,3,123,1751372810,apollo
fasthdbscan_kdtree,656.8645663261414,-5.51808625459671e-08,1409586.192581955,1428,1208592,10,10,norm,10,3,123,1751373467,apollo
hdbscan_kdtree,3508.2371287345886,0.0,1409586.1925820103,1352,1208592,10,10,norm,10,3,123,1751376975,apollo
r_quitefast_default,142.58546805381775,0.0,1409586.1925820103,0,1208592,10,10,norm,10,3,123,1751377118,apollo
