"timestamp","dataset","method","n_clusters","n_threads","elapsed_time"
1594375346.8261278,"sipu/birch1","Genie_0.3_approx",100,1,10.226360559463501
1594375353.987745,"sipu/birch1","sklearn_kmeans",100,1,7.1615822315216064
1594375354.5310392,"sipu/birch1","Genie_0.3",100,3,0.5224547386169434
1594375358.9456594,"sipu/birch1","Genie_0.3_approx",100,3,4.414585113525391
1594375365.8451135,"sipu/birch1","sklearn_kmeans",100,3,6.899421215057373
1594375366.388709,"sipu/birch1","Genie_0.3",100,6,0.5227150917053223
1594375369.2349625,"sipu/birch1","Genie_0.3_approx",100,6,2.8462164402008057
1594375376.5724587,"sipu/birch1","sklearn_kmeans",100,6,7.3374621868133545
1594375377.1163254,"sipu/birch1","Genie_0.3",100,12,0.5223965644836426
1594375379.5911436,"sipu/birch1","Genie_0.3_approx",100,12,2.4747815132141113
1594375387.329502,"sipu/birch1","sklearn_kmeans",100,12,7.738324165344238
1594375387.8689423,"sipu/birch1","Genie_0.3",1000,1,0.5183918476104736
1594375398.081788,"sipu/birch1","Genie_0.3_approx",1000,1,10.212810754776001
1594375516.2812467,"sipu/birch1","sklearn_kmeans",1000,1,118.1994206905365
1594375516.8213143,"sipu/birch1","Genie_0.3",1000,3,0.519010066986084
1594375521.2365444,"sipu/birch1","Genie_0.3_approx",1000,3,4.415193796157837
1594375623.0077045,"sipu/birch1","sklearn_kmeans",1000,3,101.77112197875977
1594375623.551696,"sipu/birch1","Genie_0.3",1000,6,0.5228540897369385
1594375626.4472296,"sipu/birch1","Genie_0.3_approx",1000,6,2.8954975605010986
1594375728.5445719,"sipu/birch1","sklearn_kmeans",1000,6,102.09730672836304
1594375729.0872502,"sipu/birch1","Genie_0.3",1000,12,0.5213427543640137
1594375731.6272337,"sipu/birch1","Genie_0.3_approx",1000,12,2.5399482250213623
1594375846.68945,"sipu/birch1","sklearn_kmeans",1000,12,115.06218123435974
1594375846.711842,"sipu/birch1","Genie_0.1",10,0,0.022335290908813477
1594375846.7361026,"sipu/birch1","Genie_0.3",10,0,0.024227380752563477
1594375846.7670639,"sipu/birch1","Genie_0.5",10,0,0.030927419662475586
