# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 7 SSI categories, being the geometric means
# of the underlying 9+7+5 categories.
"Country","BasicNeeds","PersonalDevelopmentAndHealth","WellBalancedSociety","NaturalResources","ClimateAndEnergy","Transition","Economy"
"Syria",8.83572597659546,5.68684919653477,4.55843594877971,3.32839498079494,5.30209848669289,2.02571165587265,4.73430970002572
"Taiwan",9.78542885233375,8.28128425965812,6.9045707818251,5.14376241290215,1.44877504690091,4.54974986082382,8.16773565415253
"Tajikistan",7.76227786779763,6.92592251608609,4.29236810690739,6.52158841485746,4.55831360314895,3.73225976066229,3.41483011618328
"Tanzania",3.83782062205999,5.98175276555053,2.85372301809689,7.64929379975128,7.21119490597965,4.35203084825049,4.80171287026461
"Thailand",9.44374525214734,7.59030015959846,5.52285499655384,7.4794174068064,3.434711750175,3.52089228549235,7.80372620705893
"Togo",4.00275277179395,6.24600416912079,2.70589398017324,8.10172376282351,8.13460276198055,1.40150033962344,2.84546523027973
"Trinidad and Tobago",9.30545327067921,7.04524763405571,5.19625095830807,7.75031342268901,1.57083598189421,1.42166607158466,6.20674621848308
"Tunisia",9.63673712912061,7.28777472573567,5.33506582882425,4.51342648539252,4.41846350545427,3.53126531224555,4.18817811394388
"Turkey",9.81319893056577,7.72006409210573,4.41808646547637,4.95384184961807,3.28921611748767,6.27867650235702,6.45585708806259
"Turkmenistan",7.2349382117607,6.5457636434788,4.18764397535521,2.6712040489278,1.18828088900887,3.65468627755892,6.03905406384869
"Uganda",4.81573180346818,6.31736754517243,2.42444353541781,7.66524572757445,8.00507404876701,5.29858457388479,4.26618459365055
"Ukraine",9.7382659627524,7.91533853363106,6.53985770710913,6.17619975613907,3.98049004922604,3.18062490589675,2.69467303272903
"United Arab Emirates",9.90272346252943,6.88126467840249,6.18263459813378,2.76263426194155,1.39821636592529,4.79844793116141,8.67161213167915
"United Kingdom",9.97326190447729,8.65405532833205,7.09918718123922,6.64501456813544,3.43685849787286,6.36018718073818,3.69205875313103
"United States",9.97326190447729,8.35739521137679,5.06907609111289,5.10675386901889,1.54651564051826,4.28550373101973,3.75694334657962
"Uruguay",9.86192908259584,7.86842024695669,5.34592840619896,5.06475052092315,4.75092413730551,8.62078561631304,5.32836504387424
"Uzbekistan",9.55736299764202,6.92202230785744,4.2739956435194,6.55202055073241,4.22638547673889,2.93737823435394,4.86529721463425
"Venezuela",9.57871441351876,7.70233663537619,2.29156571654825,7.34762918671679,3.81820144719957,2.99078276539404,6.13380082610287
"Vietnam",8.68288120990922,7.05358445591864,4.92422809089964,7.58965824872555,3.92735968839112,4.122873497748,4.84493351849497
"Yemen",6.00225806674915,5.50226499421965,3.22085341293383,2.80110611536062,5.21688821165868,1.4195462808834,2.09261569030485
"Zambia",5.28195648912625,6.76761594317175,1.75995900382531,8.2962833759399,7.22593149061388,2.73125050057661,3.1647205981313
"Zimbabwe",5.74879440382639,5.9351749535143,2.56335318191993,7.54029770865,6.70022611725181,2.77196706198408,3.61016713258653
